titulo,caracteristicas,precio_numerico,precio_por_m2,categoria_precio,metros_cuadrados,categoria_tamano,ambientes,dormitorios,banos,cocheras,barrio,ciudad,descripcion
Obispo Trejo al 1280,43 m² tot. 3 amb. 1 dorm.,650000,15116.279069767443,Medio,43.0,Pequeño,3,1,,,Nueva Córdoba,Córdoba,"Disponible a Partir de julio! Castiñeira Salguero ofrece en alquiler departamento de 1 Dormitorio A Estrenar, con inmejorable ubicación para estudiantes en Nueva Cordoba. El mismo cuenta con las siguientes características: - 1 Dormitorio con placard- Living comedor amplio y luminoso- Cocina integrada con barra desayunadora- Placard en living- Baño completo- Balcóncontrato A 2 años. Ajuste cuatrimestral por ipcimpuestos A cargo de inquilino"
Urquiza 1731,86 m² tot. 3 amb. 2 dorm. 2 baños,650000,7558.139534883721,Medio,86.0,Grande,3,2,2.0,,Alta Córdoba,Córdoba,"Alquilo departamento en sexto piso, sobre calle Urquiza 1731, el mismo se encuentra a tan sólo 300 metros de la plaza principal en el consolidado barrio de Alta Córdoba. El inmueble es tipología dúplex y se encuentra distribuido se la siguiente manera: planta baja. - 6to piso, tipología B, orientación frente. - Cocina comedor semi integrada con mobiliario bajo mesada y alacena, artefacto de cocina y calefón a gas. - Amplia terraza con hermosa vista. - Baño completo, con mueble vanitory. - Un dormitorio con amplio placard y salida a la terraza. Planta alta. - Dormitorio amplio con placard y salida a la terraza. - Baño completo, con mueble vanitory y espejo. - Amplia terraza con hermosa vista. Requisitos: - Contrato por 2 años con actualización trimestral por ipc. - 3 garantías (recibos de sueldo superiores a los $ 1. 200. 000 y o garantía propietaria) aparte de la demostración de ingresos por parte del inquilino. - Honorarios inmobiliarios 5% sobre el monto total del contrato. - Expensas, impuesto municipal, impuesto de rentas y servicios a cargo del inquilino."
Corro 557,70 m² tot. 4 amb. 2 dorm. 1 baño,600000,8571.42857142857,Medio,70.0,Mediano,4,2,1.0,,Güemes,Córdoba,Corro N 557. Planta alta. Living comedor. Cocina separada. Un baño completo. Dos dormitorios. Terraza
Roma 368 - 1 A - 1 Dormitorio,47 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.,650000,13829.787234042553,Medio,47.0,Pequeño,2,1,1.0,1.0,General Paz,Córdoba,"Neta alquilahermoso departamento ubicado en calle Roma 368 en 1° piso B° General Paz. Características: -1 dormitorio que incluye placard con interiores-Cochera techada en subsuelo-Balcón pequeño, contrafrente-Cocina integrada-Baño con antebaño El edificio cuenta con sum con asador y una pequeña pileta en terraza. alquiler $650. 000expensas $170. 000 aproximadamenteimportante! ! El departamento se alquila sin los muebles! ! Contactanos para más información! neta servicios inmobiliarios"
Chacabuco 1068 - 1 Dormitorio,45 m² tot. 3 amb. 1 dorm. 1 baño,650000,14444.444444444445,Medio,45.0,Pequeño,3,1,1.0,,Nueva Córdoba,Córdoba,"Neta alquiladepartamento de 1 dormitorio con uno de los mejores balcones, en la calle Chacabuco al 1068, en un 5º piso a media cuadra de Plaza España y pleno Nueva Cordoba! Edificio Alto Chacabuco - Nueva Cordoba Muy cómodo y luminoso! Características: -Living comedor amplio, el cual consta con A/A y calefactor -Cocina semi - integrada con muebles de guardado varios y barra desayunadora -Baño completo con bañera-Dormitorio amplio con placar completo y salida al balcón -Balcón frente con vista despejada super amplio -Se caracteriza por ser muy luminosoalquiler: $650. 000 mas expensasexcelente oportunidadContactanos para coordinar una visitaneta servicios inmobiliarios"
Colón al 5000,46 m² tot. 2 amb. 1 dorm. 1 baño,400000,8695.652173913044,Económico,46.0,Pequeño,2,1,1.0,,Quebrada de las Rosas,Córdoba,"En esta oportunidad platinus Bienes Raíces te ofrece este departamento en alquiler en barrio Quebrada de las Rosas, sobre Av. Colón 5034. Cuarto piso. Valor de Alquiler: $400. 000Expensas: $ 130. 000Tiempo de Contrato: 2 años. Ambientes: - 1 Dormitorios- 1 Baño- Cocina- Living-comedor-Balcón con Parrillarequisitos de garantia: 1. Opcion 1: Titular que demuestre ingresos + Garantía Propietaria + Garante con Recibo de Sueldo. 2. Opcion 2: Titular que demuestre ingresos + 3 Garantes con Recibos de Sueldo. Platinus Bienes RaicesFélix Frías 272 - B° General Paz"
Dr. Enrique Tornu 2385,60 m² tot. 4 amb. 2 dorm. 1 baño,450000,7500.0,Económico,60.0,Mediano,4,2,1.0,,Villa Páez,Córdoba,"Somos Venezia y Asociados, te presentamos un hermoso departamento. . Super amplio y luminoso! Se encuentra ubicado, sobre la calle Enrique Tornú a media cuadra de Av. Pedro Zanni y tres cuadras de Monseñor de Andrea, por donde pasan gran cantidad de líneas de colectivos, por otro lado en la zona contas con diferentes comercios. - El departamento esta dispuesto en un primer piso, por escalera, cuenta con living comedor muy amplio con cocina integrada, la cocina cuenta con muebles bajo mesada y una puerta que sale al patio de baldosas. - Dos dormitorios, grandes con placares completos, modernos con mucho espacio y un baño completo! = te dejamos un video para que puedas rocorrerlo= Vamos a conocerlo?"
corrientes 47,70 m² tot. 2 amb. 2 dorm.,500000,7142.857142857143,Medio,70.0,Mediano,2,2,,,Centro,Córdoba,"Surban Negocios Inmobiliarios alquila. Departamento de dos dormitorios ubicado en calle Corrientes 47, entre Buenos Aires e Independencia, a una cuadra de Plaza San Martin y a dos cuadras del Patio Olmos, excelente ubicación. El mismo cuenta: -Living comedor amplio. -Cocina separada. -Dos dormitorios con placard e interiores. -Baño con bañera y accesorios completos. -no cuenta con balcón. -Ubicado en un cuarto piso contrafrente. Alquiler $500. 000. Expensas 87. 000. Cualquier consulta no dude en comunicarse con nosotros!"
AV. COLON,122 m² tot. 4 amb. 2 dorm. 1 baño 1 coch.,740000,6065.573770491803,Medio,122.0,Muy grande,4,2,1.0,1.0,Quebrada de las Rosas,Córdoba,"Complejo ""ciudad gama"" torre 2 a extrenar. Te presentamos este hermoso departamento de 2 Dormitorios en Ciudad Gama con cochera propia ubicado en el prestigioso edificio Ciudad Gama, comodidad y seguridad en una ubicación inmejorable. Con 90 m2, es la opción perfecta para quienes buscan un hogar amplio y luminoso. Se trata de un departamento en un Piso 14, balcón con asador. Se encuentra equipado con sistema de calefaccion central, con radiadores, dos aires acondicionados, placares con interiores, vanitory equipado, placares con interiores, bajo y sobre mesada. Cuenta con: - Dos dormitorios luminosos con placares con interiores, baños completos con vanitory; - Cochera. - Cocina separada; conexiones lavarropas. - Living con salida a balcón; - Balcón con asador; vista panoramica. - Pisos de porcelanato, ventanas con doble vidrio hermético (dvh, - Calefacción central con caldera dual y radiadores instalados. -Dos aires acondicionados. El complejo cuenta con los siguientes amenities: - Piscina. - Cochera. - Gimnacio esterno. - Seguridad las 24 horas. Se recomienda ampliamente, y visitarlo cuando ud desee"
Avenida Colon al 4800,44 m² tot. 5 amb. 1 dorm. 1 baño,420000,9545.454545454546,Económico,44.0,Pequeño,5,1,1.0,,Córdoba,Córdoba,"Cabalen Propiedades ofrece un hermoso departamento en alquiler ubicado en Complejo Terraforte 2 sobre Av. Colón al 4800, piso alto con una increible Vista. Características: - 1 Dormitorio- Cocina Separada- Living Comedor- Balcón con Asador- Pileta- sum- Cocheras de cortesía. Cabalen Propiedades. -"
Parana 600 9,71 m² tot. 3 amb. 2 dorm. 1 baño,600000,8450.704225352112,Medio,71.0,Mediano,3,2,1.0,,Nueva Córdoba,Córdoba,"[cordobg-3951] departamento en alquiler nueva córdoba (Disponible Julio 2025) Ubicación privilegiada. Corazón de Nueva Córdoba (cerca de unc, bares, plazas y transporte). Edificio bien mantenido (21 años | Posición externa | Orientación Este Excelente luz natural). Ambientes. 2 dormitorios (amplios, con ventanas). Living-comedor integrado. Cocina separada (posibilidad de mesada y alacena). Baño completo (con ventilación). Balcón (ideal para plantas o pequeño espacio de relax). Detalles técnicos. Superficie total: 71 m² (48 m² cubiertos). Gastos actuales (Mayo 2025): Expensas: $53. 813. Aguas Cordobesas: $20. 879. Tasa Municipal: $20. 092. Impuesto Provincial: $9. 900. Plus: Otras opciones disponibles en la zona (Paraná 444 y Paraná 510 consultar características). Servicios: Electricidad, Pavimento, Cloacas, Gas, Agua Corriente. Otros Servicios: Balcón. Agenda una visita con nosotros!! Comunicate telefónicamente con un asesor comercial, o bien consulta otras opciones en nuestro sitio Web, búscanos como Aguad Bienes Raíces. * La presente publicación, esta sujeto a disponibilidad ""La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria."
Bv. Illia 362 - 1° A - 1 Dormitorio,45 m² tot. 2 amb. 1 dorm. 1 baño,600000,13333.333333333334,Medio,45.0,Pequeño,2,1,1.0,,Centro,Córdoba,"Neta alquila Departamento en un 1° piso, el cual tiene 1 dormitorio con balcon al frente, amplio, luminoso, en una zona donde lo tenes todo al alcance de tu manoEdifico nazareno cite xi, muy moderno, con muy buenas terminacionesCaracteristicasCocina integrada, totalmente equipadaLiving comerdor amplio con A/abaño completo con bañera Dormitorio con placar con interiores y cortina Balcón amplio con salida desde el dormitorio y desde el living comedor Frente Externo Orientación NorteSuper Luminoso alquiler: $600. 000expensas: $110. 000Consultanos para coordinar una visita Excelente oportunidadneta servicios inmobiliarios"
Poeta Lugones 100 7°,79 m² tot. 2 amb. 1 dorm. 1 baño,450000,5696.202531645569,Económico,79.0,Mediano,2,1,1.0,,Nueva Córdoba,Córdoba,"Departamento ubicado en séptimo piso que consta de: ==> Living comedor. ==> Cocina integrada. ==> Un dormitorio con placar. ==> Baño con bañera. ==> Balcón. *Ambientes amplios y luminosos* Otras características: ==> Sup. Propia: 53Mtrs. 2. ==> Sup. Total: 79Mtrs. 2. ==> Antigüedad: 12 años. El inmueble se encuentra ubicado sobre calle Avda. Poeta Lugones 24, próximo a: ==> unc. ==> Terminal de ómnibus. ==> Plaza España. ==> Parque Sarmiento, entre otros. Agenda una visita con nosotros!! Comunicate telefónicamente con un asesor comercial, o bien consulta otras opciones en nuestro sitio Web, búscanos como Aguad Bienes Raíces. * La presente publicación, esta sujeto a disponibilidad ""La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria."
Manuel Estrada 100 5°,41 m² tot. 2 amb. 1 dorm. 1 baño,400000,9756.09756097561,Económico,41.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Departamento ubicado en quinto que consta de: ==> Living comedor. ==> Cocina separada. ==> 1 Dormitorio. ==> Baño. Otras características: ==> Sup. Propia: 30Mtrs. 2. ==> Sup. Total: 41Mtrs. 2. ==> Posición frente con orientación sur. El inmueble se encuentra ubicado en calle Manuel Estrada 73, entre Independencia y Bueno Aires, próximo a: ==> Plaza España. ==> unc. ==> Sanatorio Allende. Agenda una visita con nosotros!! Comunicate telefónicamente con un asesor comercial, o bien consulta otras opciones en nuestro sitio Web, búscanos como Aguad Bienes Raíces. * La presente publicación, esta sujeto a disponibilidad ""La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria."
Nazaret 3233,5000 m² tot. 5 amb. 2 dorm. 1 baño 1 coch.,1200000,240.0,Premium,5000.0,Muy grande,5,2,1.0,1.0,Las Rosas,Córdoba,"Casonas del norte - departamento en alquiler de. 2 dormitorios. 1 cochera. 2 piso con vistas al río. - Servicios comunes: amplios espacios verdes, quincho, pileta, sum, Gimnasio. - seguridad 24 hs. con o sin muebles!! 2 dormitorios con placard. 1 baño completo grande. Living comedor. Balcon con asador. Cocina separada"
