titulo,caracteristicas,precio_numerico,precio_por_m2,categoria_precio,metros_cuadrados,categoria_tamano,ambientes,dormitorios,banos,cocheras,barrio,ciudad,descripcion
Av colon 4875,45 m² tot. 2 amb. 1 dorm. 1 baño,500000,11111.111111111111,Medio,45.0,Pequeño,2,1,1.0,,Córdoba,Córdoba,"Venezia y Asociados - Gestión Inmobiliaria te ofrece en esta oportunidad un precioso departamento de categoría, dentro del Complejo Terraforte ii, excelente ubicacion!! El complejo cuenta con pileta y zoom. - Si estas Buscando un departamento Moderno, Super iluminado, en un lugar seguro, esta es una gran oportunidad. - Algunas Caracteristicas: Living comedor con puerta Ventana al balcon. - Balcon Con asador. - Cocina Con muebles completos bajo mesadas y Alacenas. - Baño, con Antebaño Completo. - Habitacion con placard. -"
Colón al 5000,46 m² tot. 2 amb. 1 dorm. 1 baño,400000,8695.652173913044,Económico,46.0,Pequeño,2,1,1.0,,Quebrada de las Rosas,Córdoba,"En esta oportunidad platinus Bienes Raíces te ofrece este departamento en alquiler en barrio Quebrada de las Rosas, sobre Av. Colón 5034. Cuarto piso. Valor de Alquiler: $400. 000Expensas: $ 130. 000Tiempo de Contrato: 2 años. Ambientes: - 1 Dormitorios- 1 Baño- Cocina- Living-comedor-Balcón con Parrillarequisitos de garantia: 1. Opcion 1: Titular que demuestre ingresos + Garantía Propietaria + Garante con Recibo de Sueldo. 2. Opcion 2: Titular que demuestre ingresos + 3 Garantes con Recibos de Sueldo. Platinus Bienes RaicesFélix Frías 272 - B° General Paz"
Videla Castillo Nº 626- Planta Baja C/patio y Cochera- Bº San Martín,60 m² tot. 3 amb. 1 dorm. 1 baño 1 coch.,450000,7500.0,Económico,60.0,Mediano,3,1,1.0,1.0,San Martín,Córdoba,Con-Trato Inmobiliaria presenta: Departamento de 1 dormitorio - Patio con asador y cochera! Ubicación: Videla Castillo Nº 626. Planta Baja Bº San MartínEl departamento: •Living-Comedor •Cocina integrada con muebles de alacena y bajo mesada•1 dormitorio con placard amplio•Baño completo•Cochera cubierta•Patio con piso de cemento y céspedCondiciones de contratación: • Alquiler mensual: $460. 000 + expensas $33. 880 aprox. + Municipalidad $4. 475 + Agua $12. 350 aprox. + servicios• Ajuste: Cuatrimestral por icl. • Plazo: Contrato a 2 añosno admiten mascotas! Coordinamos una visita?. . Esperamos tu llamado
Chacabuco 1068 - 1 Dormitorio,45 m² tot. 3 amb. 1 dorm. 1 baño,650000,14444.444444444445,Medio,45.0,Pequeño,3,1,1.0,,Nueva Córdoba,Córdoba,"Neta alquiladepartamento de 1 dormitorio con uno de los mejores balcones, en la calle Chacabuco al 1068, en un 5º piso a media cuadra de Plaza España y pleno Nueva Cordoba! Edificio Alto Chacabuco - Nueva Cordoba Muy cómodo y luminoso! Características: -Living comedor amplio, el cual consta con A/A y calefactor -Cocina semi - integrada con muebles de guardado varios y barra desayunadora -Baño completo con bañera-Dormitorio amplio con placar completo y salida al balcón -Balcón frente con vista despejada super amplio -Se caracteriza por ser muy luminosoalquiler: $650. 000 mas expensasexcelente oportunidadContactanos para coordinar una visitaneta servicios inmobiliarios"
Avenida Santa Ana 3400 PA,48 m² tot. 2 amb. 1 dorm. 1 baño,300000,6250.0,Económico,48.0,Pequeño,2,1,1.0,,Alto Alberdi,Córdoba,"Departamento ubicado en primer piso por escalera que consta de: ==> Living comedor. ==> Cocina integrada equipada con mueble bajo mesada. ==> Un dormitorio con placard con interiores completos. ==> Un baño y patio de material con asador. Posición interno con orientación este. El inmueble se ubica en calle Avda. Santa Ana 3480, entre Avda. Los Plátanos y Félix Paz, frente a Supermercado Mariano Max. Servicios: Electricidad, Pavimento, Teléfono, Agua Corriente, Videocable"
Libertad 955 - 10 D - 1 Dormitorio,45 m² tot. 2 amb. 1 dorm. 1 baño,700000,15555.555555555555,Medio,45.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Neta alquila Departamento de 1 dormitorio en Bº. General Paz - Alto Paz Tower! ! Tocá el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -1 dormitorio - 1 baño completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicadoEl departamento incluye 2 aa en living comedor y en dormitorio, ademas esta equipado con heladera y cerradura digital 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $700. 000 expensas: $135. 000consulta con alguno de nuestros asesores para mas información detalladaneta servicios inmobiliarios"
Libertad 955 - 2 Dormitorios - 9J,76 m² tot. 3 amb. 2 dorm. 2 baños,900000,11842.105263157895,Alto,76.0,Mediano,3,2,2.0,,General Paz,Córdoba,"Departamento A estrenar Bº general paz Departamento de 2 habitaciones en Bº. General Paz - Alto Paz Tower! ! Tocá el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -2 dormitorios- 2 baños completos sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluído en el precio publicado 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $900. 000expensas: $235. 000 aprox. consulta con alguno de nuestros asesores para mas información detalladaconsúltanos para coordinar una visita! Excelente oportunidad! neta servicios inmobiliarios"
Misiones 60 - PA - 2 Dormitorios,45 m² tot. 2 amb. 2 dorm. 1 baño,550000,12222.222222222223,Medio,45.0,Pequeño,2,2,1.0,,Córdoba,Córdoba,"Neta alquila Departamento en pa con terraza y balcón en la zona del Nuevocentro Shopping, a pocas cuadras de la Plaza Colón. Lugar muy tranquilo y confortable. Características: -2 dormitorios con placar completo -1 baño completo con bañera -Cocina comedor amplio -No cuenta con living -Terraza super amplia -Balcón frente con vista despejada -Muy amplio y luminoso -Se ingresa al departamento por escaleraalquiler: $550. 000sin expensasimpuestos no incluidosconsúltanos para coordinar una visitaExcelente oportunidadneta servicios inmobiliarios"
Ovidio Lagos 11,40 m² tot. 2 amb. 1 dorm. 1 baño,420000,10500.0,Económico,40.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Departamento de 1 dormitorio en alquiler – Cómodo, luminoso y bien ubicado Características principales: • Dormitorio: amplio, con placard empotrado, buena entrada de luz natural. • Cocina: separada del ambiente principal, con espacio para cocina y heladera. • Baño: completo, con ducha. • Living-comedor: cómodo y funcional, con buena iluminación natural. • Balcón: no posee. • Luz natural: excelente iluminación durante el día en todos los ambientes. • Edificio: de construcción antigua, pero muy tranquilo. • Gastos comunes: bajos, lo que lo hace una opción económica para vivir. • Ubicación: en una zona estratégica, con fácil acceso a transporte público, comercios y servicios. Ideal para quienes buscan un espacio funcional, cómodo y bien ubicado. contacto: Ver datos / Ver datos400 (fijo)"
Rioja al 4300,46 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.,480000,10434.782608695652,Económico,46.0,Pequeño,2,1,1.0,1.0,Cerro de las Rosas,Córdoba,"En esta oportunidad platinus Bienes Raíces alquila: Departamento de 1 dormitorio en Terraforte, sobre calle La Rioja 4350. Características: -Piso 17-1 Dormitorios-1 Baño-Living-Comedor-Cocina-Balcón con parrilla-Cochera cubiertaExpensas: $115. 000 (Incluyen Impuesto Municipal, Agua y rentas) Contactanos par más información!"
Fontanas del Sur- Bunge 4460 - 2 Dorm,56 m² tot. 5 amb. 2 dorm. 2 baños 1 coch.,1000000,17857.14285714286,Alto,56.0,Mediano,5,2,2.0,1.0,Córdoba,Córdoba,"Neta alquiladepartamento divino en el condominio Fontanas del Sur, ubicado en Carlos O. Bunge 4460, con un hermoso espacio verde!! Características: -2 dormitorios con placard, las camas no están incluidas! -2 baños-Cocina completamente equipada, con gran espacio de guardado-Living- comedor-Balcón Amplio-Departamento provisto de aire acondicionado y radiadores- cuenta con cochera incluida!! El condominio cuenta con pileta, sum, parrilla, quincho, espacio verde, etc. alquiler $1. 000. 000expensas $400. 000 aproximadamenteContactanos para mas información!! Neta Servicios Inmobiliarios"
Libertad 955 - 1 Dormitorio - 21 E,57 m² tot. 2 amb. 1 dorm. 1 baño,650000,11403.508771929824,Medio,57.0,Mediano,2,1,1.0,,General Paz,Córdoba,"Neta alquiladepartamento A estrenar - Piso 21 Tipologia E, en Bº general pazdepartamento de 1 habitación en Bº. General Paz - Alto Paz Tower! ! Toca el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -1 dormitorio- 1 baños completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina semi - integrada super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicado 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $650. 000expensas: $135. 000 aprox. (las mismas están sujetas a modificación) consulta con alguno de nuestros asesores para mas informacion detalladaconsúltanos para coordinar una visita! Excelente oportunidad! neta servicios inmobiliarios"
comechingones 1051,90 m² tot. 3 amb. 2 dorm. 1 baño,550000,6111.111111111111,Medio,90.0,Grande,3,2,1.0,,Alto Alberdi,Córdoba,"Venezia & Asociados te ofrece un amplio y hermoso departamento de dos dormitorios, moderno. - Ubicado sobre calle Comechingones 1051: a metros de Av. Maestro Vidal y Club Alas Argentinas. Muy próximo a Av. Duarte Quirós y Ruta 20! Forma parte de un inmueble que tiene una casa al frente, el departamento se encuentra al fondo y está totalmente independizado de la casa. * Posee dos cocheras: cochera techada y cerrada + una cochera sin techo dentro de la reja perimetral de la casa. * Amplísimo Living comedor con cocina integrada y barra desayunadora (grande) * Escritorio para dos o tres computadoras semi separado el living comedor. * Dos dormitorios, uno de ellos con placard y calefactor. * Pequeño patiecito de cemento alisado y asador. * Gas Natural. Sin expensas. Te invitamos a conocerlo!!"
"Departamento en Alquiler de 2 Dormitorios en Complejo Cerrado, Zona Sur",70 m² tot. 4 amb. 2 dorm. 1 baño,550000,7857.142857142857,Medio,70.0,Mediano,4,2,1.0,,Córdoba,Córdoba,"Rue negocios inmobiliarios alquila departamento de 2 dormitorios en complejo cerrado en barrio Jardín Hipódromo, calle Rimini al 831El departamento consta de living al ingreso, cocina, comedor separado, 1 baño y 2 dormitorios con placardComplejo seguro, con expensas bajas. ¿Qué esperás para ir a conocerlo? Escribinos y coordinamos una visita. Disponible para ver a partir del jueves 15 de MayoPor muestras hablar a Ezequiel Ruiz Ver datos"
AV. COLON,122 m² tot. 4 amb. 2 dorm. 1 baño 1 coch.,740000,6065.573770491803,Medio,122.0,Muy grande,4,2,1.0,1.0,Quebrada de las Rosas,Córdoba,"Complejo ""ciudad gama"" torre 2 a extrenar. Te presentamos este hermoso departamento de 2 Dormitorios en Ciudad Gama con cochera propia ubicado en el prestigioso edificio Ciudad Gama, comodidad y seguridad en una ubicación inmejorable. Con 90 m2, es la opción perfecta para quienes buscan un hogar amplio y luminoso. Se trata de un departamento en un Piso 14, balcón con asador. Se encuentra equipado con sistema de calefaccion central, con radiadores, dos aires acondicionados, placares con interiores, vanitory equipado, placares con interiores, bajo y sobre mesada. Cuenta con: - Dos dormitorios luminosos con placares con interiores, baños completos con vanitory; - Cochera. - Cocina separada; conexiones lavarropas. - Living con salida a balcón; - Balcón con asador; vista panoramica. - Pisos de porcelanato, ventanas con doble vidrio hermético (dvh, - Calefacción central con caldera dual y radiadores instalados. -Dos aires acondicionados. El complejo cuenta con los siguientes amenities: - Piscina. - Cochera. - Gimnacio esterno. - Seguridad las 24 horas. Se recomienda ampliamente, y visitarlo cuando ud desee"
ACHAVAL RODRÍGUEZ 70,42 m² tot. 2 amb. 1 dorm. 1 baño,720000,17142.85714285714,Medio,42.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Sikora Gestiones Inmobiliarias. alquila Departamento Temporal Mensual en Nueva Córdoba. ~~ 1 Dormitorio ~~ • Sobre Calle Achával Rodríguez N° 70 – Córdoba. • Piso 4° – Balcón y Vista al Contra Frente. • Contrato de Plazo Mínimo 1 Mes – Máximo 3 Meses – Opción a Renovación. → servicios Y expensas incluídos en el alquiler. (Luz – Gas – Agua – Internet – Tv – Expensas – Sábanas y Toallas) Disfruta de este hermoso y acogedor Departamento Amoblado Mensual, ubicado en el corazón de Nueva Córdoba. Ideal para estadías temporales, combina comodidad, estilo y una excelente ubicación. Cuenta con un balcón con vista al pulmón de manzana, que ofrece tranquilidad en plena ciudad. El edificio dispone de un quincho abierto con asador de uso común en el primer piso, perfecto para disfrutar al aire libre. Ubicado a metros del Sanatorio Allende y del Paseo del Buen Pastor, rodeado de bares, restaurantes, comercios y todo lo que necesitas para una estadía práctica y agradable. ¡Una opción ideal para vivir Córdoba desde su mejor zona! Características del Departamento: • 1 Dormitorio. • 1 Baño con Bañera. • Cocina Separada. • Amoblado Completo. • Balcón al Contra Frente. + Vajilla Completa. + Wifi – Fibra Óptica. + Aires Acondicionados. + Televisión. Características del Edificio: - Excelentísima Ubicación y Zona. - Cámaras de Seguridad. - Guardia y Vigilancia. - Ascensores y Escaleras. - Quincho con Asadores. • Conexión con Transportes Urbanos. • A metros del Buen Pastor. • A metros del Sanatorio Allende. • A pasos de la Universidad Siglo xxi. • A pasos de la Universidad Nacional de Córdoba. Para más Información o Programar una Visita, no dudes en Consultarnos️ + WhatsApp: Ver datos. + Estamos en San Luis N° 145 – Nueva Córdoba. + Horario de Atención: De Lunes a Viernes de 09: 30 hs a 17: 30 hs."
PRINGLES 110,60 m² tot. 2 amb. 1 dorm.,750000,12500.0,Medio,60.0,Mediano,2,1,,,General Paz,Córdoba,Departamento Temporario en Alquiler – Pringles 110 Piso 2 Frente – Barrio General Paz. Alquiler mensual $720. 000. Expensas $85. 000. Servicios a cargo del inquilino agua luz gas e internet. Alquiler temporario de moderno departamento de 1 dormitorio ubicado al frente en segundo piso por ascensor. Situado en el corazón de Barrio General Paz una de las zonas más buscadas de Córdoba por su ubicación estratégica y entorno residencial. La unidad está totalmente amoblada y equipada incluyendo lavarropas no visible en las fotos cocina integrada living comedor con salida a balcón baño completo y dormitorio con placard. En excelente estado de mantenimiento lista para habitar. El edificio cuenta con pileta asadores y seguridad nocturna. Condiciones. Plazo mínimo de alquiler 1 mes. Plazo máximo 3 meses. Depósito en garantía equivalente a un mes de alquiler se devuelve al finalizar el contrato. Honorarios inmobiliaria 10 por ciento del total del contrato. Posibilidad de renovación sujeta a disponibilidad y acuerdo entre las partes
Bv Ocampo al 300,40 m² tot. 2 amb. 1 dorm. 1 baño,320000,8000.0,Económico,40.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Grupo Activa Propiedades ofrece en alquiler departamento 1 dormitorio con balcon sobre calle Bv. Ocampo al 300 B° General Paz Excelente oportunidad en una de las zonas más buscadas de la ciudad. Este moderno departamento de 1 dormitorio se encuentra sobre Boulevard Ocampo, en el tradicional y renovado Barrio General Paz, a solo minutos del centro de Córdoba. Características principales: • 1 dormitorio con placard • Cocina integrada con muebles bajo mesada y alacena • Baño completo con terminaciones de calidad • Balcón con vista a la calle, ideal para disfrutar del aire libre • Ambientes bien distribuidos y funcionales • Edificio con ascensor y servicios centralesUbicación estratégica: Situado sobre una de las avenidas principales del barrio, con rápido acceso a Nueva Córdoba, centro y zona norte. Cercano a centros médicos, supermercados, espacios verdes, bares y restaurantes. ¡Consultanos para más información o agendá tu visita! grupo activa propiedadescpi 6482"
Rivera Indarte 1957,47 m² tot. 2 amb. 1 dorm. 1 baño,410000,8723.404255319148,Económico,47.0,Pequeño,2,1,1.0,,Alta Córdoba,Córdoba,"Se ofrece en alquiler hermoso departamento en la calle Rivera Indarte al 1900, Barrio Alta Cordoba. El mismo posee: 1 dorm amplio con placard. Living/Comedor amplio. cocina separada. 1 baño completo. Balcón. amplio Y luminoso. excelente ubicación!! Segundo piso por escalera. no dejes pasar esta oportunidad! Requisitos. Titular: demostración de ingresos. -3 Garantes: recibos de sueldo superiores a 950 mil con al menos dos años de antigüedad o propiedades en cordoba."
Angelo de peredo 46,50 m² tot. 3 amb. 1 dorm. 1 baño,490000,9800.0,Económico,50.0,Mediano,3,1,1.0,,Nueva Córdoba,Córdoba,"1 Dormitorio con Balcón – Betania vii – Peredo 46. Departamento en 3° piso con balcón interno, ubicado en Ángelo de Peredo 46, a metros de Ciudad Universitaria, El Buen Pastor y el Centro. Excelente zona en Nueva Córdoba. Distribución: Cocina separada con ventilación natural, bajo mesada y cocina instalada. Living comedor con salida a balcón. Dormitorio con placard amplio e interiores. Baño completo con bañera. Edificio con: Limpieza por la mañana. Seguridad nocturna. Cámaras de vigilancia. Terraza con 2 asadores. Gastos mensuales estimados: Expensas: $100. 000. Agua: $18. 000. Impuestos: $25. 000 aprox. Contrato: 2 años. Actualización cuatrimestral por ipc"
Santiago Temple 143,45 m² tot. 2 amb. 1 dorm. 1 baño,680000,15111.111111111111,Medio,45.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"grupo betania alquila - betania plaza. Santiago Temple 143, frente a Ciudad Universitaria – B° Nueva Córdoba. departamento 1 dormitorio - piso 3° frente con balcón. ¡Amplio, moderno y con excelente ubicación! Características del departamento: Cocina integrada con barra desayunadora, muebles bajo y sobre mesada y artefacto de cocina de 1° marca. Living comedor con salida a amplio balcón al frente. 1 dormitorio con placard con interiores, cajoneras y puertas espejadas. Baño completo con vanitory, espejo y grifería de alta calidad. ♂️ Amenities premium: Piscina con solarium. Gimnasio. Asadores en terraza. 2 sum totalmente equipados. Guardia 24 hs. Ingreso con reconocimiento facial. Portero visor con cámara y pantalla en el depto. Opcional: cochera (con costo adicional) Gastos mensuales aproximados: Expensas: $156. 600. Impuestos: $20. 500. Aguas Cordobesas: $10. 000. Contrato por 2 años con actualización cuatrimestral por ipc. ¿Querés vivir frente a Ciudad Universitaria, con todas las comodidades? Consultanos para agendar una visita."
Ibarbalz 752,60 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.,1000000,16666.666666666668,Alto,60.0,Mediano,3,2,1.0,1.0,General Paz,Córdoba,"Se alquila. Departamento de dos dormitorios en edificio cardinales nuevo suquia (ibarbalz 752), ciudad de Córdoba. Piso 18 con gran vista. Departamento amplio y muy luminoso, externo con balcón, con vista al centro de la ciudad. Con cochera propia del departamento. -Posee cocina separada con ventilación natural, equipado con mueble de bajo mesada, alacena, artefacto de cocina, extractor y calefón. -Living Comedor amplio con salida a balcón; aire acondicionado instalado. -2 dormitorios con placard con interiores completos. Cada dormitorio posee su aire acondicionado instalado. -antebaño y baño. El edificio dispone de terraza con pileta y sum con asador y un espacio de entrenamiento con aparatos. Seguridad 24hs. Expensas: $120. 000 depto / $20. 000 cochera. Impuestos: $15. 000. - Aguas cordobesas: $10. 000. - Contrato por 2 años con actualizacion cuatrimestral por ipc"
Rondeau 450,75 m² tot. 2 amb. 2 dorm. 1 baño,750000,10000.0,Medio,75.0,Mediano,2,2,1.0,,Nueva Córdoba,Córdoba,"#inter Soluciones Inmobiliarias ofrece en alquiler depto en excelente ubicación, a mts de Chacabuco, tres cuadras de Plaza España y del Parque Sarmiento. Ubicado en un 5° piso contrafrente, el edificio cuenta con cámaras de seguridad. Cuenta con: *amplio estar comedor, * cocina separada con bajomesada y ventilación propia. * dos dormitorios con placares completos, * baño completo, * baño de uso social. * conexión para lavarropas automático, * balcón, ¨ * calefactor, Abona Municipalidad $21. 200, dgr $13. 200, Aguas Cordobesas $18. 000 y expensas $120. 000, Contrato por dos años e incremento trimestral según índice cer. Requisitos: ** todas las garantías deben ser dentro de la Pcia de Córdoba, sin excepción ** a) una garantía propietaria más un recibo de sueldo superior al $1. 000. 000 y al menos un año de antigüedadó b) tres recibos de sueldo, distintos del titular del contrato, con al menos un año de antigüedad y de $1. 000. 000 en adelante. #inter #SolucionesEficientes #Ignea5 #NuevaCordoba #NvaCba"
Bv Illia 520,45 m² tot. 2 amb. 1 dorm. 1 baño,550000,12222.222222222223,Medio,45.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"departamento en alquiler – nazareno ii. Bv. Illia 520 – Piso 3° al frente con balcon. Consta de: – Cocina integrada con ventilación natural, equipada con bajo mesada, cocina y calefón Longvie. – Living-comedor con salida al balcón contrafrente y aire acondicionado instalado. – Baño completo con bañera. – Dormitorio con piso de parquet y placard con interiores. Gastos mensuales aproximados: – Expensas: $118. 100. – Impuestos (Rentas + Municipalidad): $15. 000. – Aguas Cordobesas: $14. 000. ️ Edificio con seguridad nocturna. Terraza de uso común con asadores. Contrato por 2 años – Actualización cuatrimestral según ipc"
parana 441,48 m² tot. 2 amb. 1 dorm. 1 baño,400000,8333.333333333334,Económico,48.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,El departamento cuenta con: -Cocina. -Living/comedor. -Baño. -Dormitorio. - 2 patios internos
Ituzaingo 748,56 m² tot. 2 amb. 1 dorm. 1 baño,770000,13750.0,Medio,56.0,Mediano,2,1,1.0,,Nueva Córdoba,Córdoba,"Alquiler – Dúplex amoblado. Disponible para alquiler, moderno dúplex de 1 dormitorio con excelente distribución y espacios amplios. La propiedad cuenta con: 1 dormitorio luminoso. 2 baños (uno en cada planta) Living comedor. Balcón con vista abierta. Terraza privada con asador, ideal para reuniones."
Ituzaingo 572,42 m² tot. 3 amb. 1 dorm. 1 baño,400000,9523.809523809523,Económico,42.0,Pequeño,3,1,1.0,,Nueva Córdoba,Córdoba,Excelente Zona en Nueva Cordoba - A metros Paseo del Buen Pastor. Departamento ubicado en el piso 3. Interno. Estar comedor. Dormitorio. Placard. Baño. Sin balcón. Equiopado con cocina y calefon. Silencioso
Santa Rosa 1991,48 m² tot. 3 amb. 1 dorm. 1 baño,300000,6250.0,Económico,48.0,Pequeño,3,1,1.0,,Alberdi,Córdoba,"Alquilo Departamento ubicado en calle Santa Rosa 1991 - Casi esquina Muñiz- Piso 2 - por escaleras- Caracteristicas: * Living comedor amplio con salida a balcon interno. * Cocina integrada. * 1 baño completo. * 1 Dormitorio con placard. * Servicios de luz y gas natural activos. - expensas $63. 000. * No se aceptan mascotas- Se solicita: Presentacion de ingresos del inquilino + 3 garantias (recibos de sueldo o recibos y propiedad) - consultas Y visitas comunicarse al Ver datos. - inmobiliaria oliva propiedades Matricula cpi 4227. - - La presente publicación no es una oferta vinculante en los términos del Art 7 y 8 de Ley de Defensa al Consumidor Ley N 24. 240 y el Art 1144, 1147 del Código Civil. La información contenida está sujeta a modificación sin previo aviso y a criterio del propietario que determina las condiciones finales para dar en venta o alquiler el inmueble de su propiedad. Ud. Dispone de amplia libertad para adquirir información concreta, veraz, u objetiva que revista el carácter de una oferta. -"
independencia 684,45 m² tot. 3 amb. 1 dorm.,650000,14444.444444444445,Medio,45.0,Pequeño,3,1,,,Nueva Córdoba,Córdoba,"El departamento ideal en el corazón de Nueva Córdoba. Frente al Allende y a media cuadra del buen pastor. Alquilamos este departamento amoblado de 1 dormitorio. Completamente equipado! Ubicado hacia el frente del edificio. - Cocina separada equipada con heladera, lavarropas, microondas, vajilla. - Estar comedor amplio con mesa, televisor y sillones. - 1 Dormitorio con cama de dos plazas y placard con interiores. - 1 baño. - balcón. - Aire acondicionado. Contrato por 1 o 2 años. Consultanos!"
Derqui 7,50 m² tot. 2 amb. 1 dorm. 1 baño,700000,14000.0,Medio,50.0,Mediano,2,1,1.0,,Nueva Córdoba,Córdoba,"Nueva córdoba - derqui 7 - piso 9 externo. amoblado! Seguridad. la mejor ubicación!! Hermosas vistas A las sierras! Excelente Dpto. Completamente amoblado ubicado en el corazón de Nueva Córdoba. Posee living-comedor, cocina separada, baño completo Y un dormitorio amplio con placard con interiores. Alquiler $700. 000 expensas aguas impuestos. Se alquila por períodos desde 6 meses. Contacto miriam Ver datos"
Montevideo 574,28 m² tot. 3 amb. 1 dorm. 1 baño 1 coch.,890000,31785.714285714286,Alto,28.0,Pequeño,3,1,1.0,1.0,General Pueyrredón,Córdoba,"Ragazzini bienes raices presenta: Disfrutá de la comodidad y los servicios premium de este departamento temporario ubicado en Kube Apartments Express, en el corazón del barrio Gemes, a pasos de La Cañada y del Patio Olmos Shopping. A tan solo 10 minutos de la terminal de Omnibus de Cordoba y 30 minutos aproximadamente del Aeropuerto Internacional Ambrosio Taravella. Ideal para quienes buscan una estadía cómoda, segura y con excelente ubicación en Córdoba Capital. Características del Departamento. 1 dormitorio: Dos opciones distintas con cama sommier de dos plazas o dos camas simples, placard y decoración moderna. Cocina completa: Equipamiento de calidad, incluyendo microondas, heladera, pava eléctrica y utensilios. Living comedor: Mesa con 4 sillas, sofá cama, decoración acogedora y elementos de limpieza. Baño: Con secador de cabello y accesorios esenciales. Wi-Fi incluido para que estés siempre conectado. Servicios y Amenidades. Piscina climatizada en la terraza con solárium. Recepción 24 horas y seguridad nocturna. Mantenimiento incluido (electricidad, plomería y gas). Estacionamiento opcional (Consultar disponibilidad y costos) Desayuno diario disponible. Servicio de lavandería y ropa blanca (opcional, con cargo adicional). Alojamiento máximo para 2 personas (inquilino extra con cargo adicional). Estadia minima 1 mes!!"
Juan Domingo Peron 1150,55 m² tot. 2 amb. 1 dorm. 1 baño,500000,9090.90909090909,Medio,55.0,Mediano,2,1,1.0,,Crisol,Córdoba,"Administracion modica presenta en alquiler este hermoso depto a estrenar de un dormitorio en el nuevo complejo de regam pilay futura, en una excelente ubicación de B° crisol, a metros de la Nueva Terminal de Ómnibus y minutos del Centro. Ubicación: Juan Domingo Perón 1150. El complejo: - Sum c/ asadores. - Patio de juegos para niños. - Vigilancia 24hs. - Espacios verdes. El departamento: - 6° piso. - 1 dormitorio c/ placard. - Living/Comedor. - Cocina semiintegrada. - Balcón. - Baño y antebaño. - Aire Acondicionado. - Calefactor. - Cortinas black out. Alquiler: $500. 000. Expensas: $120. 000. Contrato: 02 años. dgr, Municipalidad, Aguas y servicios: a cargo del Inquilino. Actualización: Cuatrimestral en base al ipc"
OBISPO TREJO 1214,45 m² tot. 2 amb. 1 dorm. 1 baño,550000,12222.222222222223,Medio,45.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,Se ofrece en alquiler hermoso departamento de 1 dormitorio ubicado en calle Obispo Trejo 1214. El edificio se encuentra a pocas cuadras de la universidad y hospital privado. Caracteristicas: - Living comedor amplio y luminoso. - Cocina semi integrada. - Baño completo. - Dormitorio amplio y placard con interiores. - Dos patios internos. esperamos su consulta!
Esquiu 753,78 m² tot. 4 amb. 2 dorm. 2 baños 1 coch.,650000,8333.333333333334,Medio,78.0,Mediano,4,2,2.0,1.0,General Paz,Córdoba,"El departamento cuenta con 2 habitaciones con placard, 2 baños con antebaño y bañera, uno de ellos en suite. Además, cuenta con cocina separada, living - comedor y balcón. Cuenta con calefacción central por radiadores, blackout en todas sus aberturas y todos los artefactos de iluminación. ¡cochera incluída! El edificio tiene seguridad las 24hs y amenities como 2 quinchos, pileta y gimnasio. Contrato por 1 año. Actualización cada 3 meses."
