titulo,precio,descripcion,ubicacion
"40 m² tot.
2 amb.
1 dorm.
1 baño",$ 420.000,"Departamento de 1 dormitorio en alquiler – Cómodo, luminoso y bien ubicado Características principales: • Dormitorio: amplio, con placard empotrado, buena entrada de luz natural. • Cocina: separada del ambiente principal, con espacio para cocina y heladera. • Baño: completo, con ducha. • Living-comedor: cómodo y funcional, con buena iluminación natural. • Balcón: no posee. • Luz natural: excelente iluminación durante el día en todos los ambientes. • Edificio: de construcción antigua, pero muy tranquilo. • Gastos comunes: bajos, lo que lo hace una opción económica para vivir. • Ubicación: en una zona estratégica, con fácil acceso a transporte público, comercios y servicios. Ideal para quienes buscan un espacio funcional, cómodo y bien ubicado. contacto: Ver datos / Ver datos400 (fijo)","General Paz, Córdoba"
"73 m² tot.
4 amb.
2 dorm.
1 baño",$ 520.000,"Departamento en alquiler: san jeronimo 351 - centro - se ubica en la zona de city, casco historiode la ciudad de cordoba, A dos cuadras de catedral cabildo plaza central. *no admite mascota* dos dormitorios con placares. cocina separada (bajo mesada y alacena, conexion de lavarropas) baño completo. living comedor. dos balcones. requicitos: se puede alquilar con garantias de recibos - propiedades Y posibles combinaciones. alquieler: $ 480. 000. expensas: $ 44. 500. consulte. disponible","Centro, Córdoba"
"45 m² tot.
2 amb.
1 dorm.
1 baño",$ 700.000,"Neta alquila Departamento de 1 dormitorio en Bº. General Paz - Alto Paz Tower! ! Tocá el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -1 dormitorio - 1 baño completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicadoEl departamento incluye 2 aa en living comedor y en dormitorio, ademas esta equipado con heladera y cerradura digital 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $700. 000 expensas: $135. 000consulta con alguno de nuestros asesores para mas información detalladaneta servicios inmobiliarios","General Paz, Córdoba"
"55 m² tot.
5 amb.
1 dorm.
1 baño",$ 750.000,"Jose Barrionuevo &quot;Bienes Raíces&quot; te ofrece en alquiler temporario: Hermoso departamento de categoría amoblado de 1 dormitorio, con amenities en Barrio General Paz. El mismo se encuentra estratégicamente ubicado cerca de los principales puntos y plazas del barrio. Se ubica en edificio inarco 25 con Vigilancia las 24hs, Pileta, 2 sum, gimnasio y sala de coworking. Este Departamento cuenta con: -1 dormitorios con placar-Living - comedor amplio y luminoso. -Cocina con extractor y ventilación. -BañoAdemás, cuenta con calefacción y aire acondicionado. Plazo de locación a convenir. Ajustes: cuatrimestrales según ipc. Escuchamos tu propuesta! No dejes de llamarnos! &quot;josé barrionuevo bienes raices. &quot; - Matrícula cpi-6083 -","Córdoba, Córdoba"
"70 m² tot.
3 amb.
2 dorm.
1 baño",$ 700.000,Departamento en alquiler de 2 dormitorios en Nueva Córdoba. El departamento está ubicado a pocas cuadras de la Plaza España y Parque Sarmiento. El departamento cuenta con: - 2 dormitorios amplios con placard. - Gran espacio en living comedor. - Balcón. - Cocina separada con preinstalación para lavarropas. - Toilette. - Baño completo. - Ventilación en todos los ambientes. Esperamos tu consulta para asesorarte!,"Nueva Córdoba, Córdoba"
"45 m² tot.
2 amb.
1 dorm.
1 baño",$ 420.000,"Departamento de un dormitorio amoblado, ubicado en calle Rodríguez Peña 1409 en B Cofico. El edificio cuenta con ascensor, ingreso con llavero electrónico, doble puerta. El mismo se encuentra distribuido de la siguiente manera: - 2do piso tipología frente. - Living comedor. - Cocina con mobiliario bajo mesada y alacenas, artefacto de cocina a gas, extractor de aire, termo tanque, heladera, micro hondas y lavarropas. - Baño con cortina divisoria de ducha. - Placard para guardar ropa y elementos de la casa. - Dormitorio amoblado. Requisitos: - Contrato por 2 años con actualización cuatrimestral por ipc. - 3 garantías (recibos de sueldo superiores a los $ 1. 000. 000 y o garantía propietaria) aparte de la demostración de ingresos por parte del inquilino. - Honorarios inmobiliarios 5% sobre el monto total del contrato. - Expensas, impuesto municipal, impuesto de rentas y servicios a cargo del inquilino.","Alta Córdoba, Córdoba"
"60 m² tot.
4 amb.
2 dorm.
1 baño",$ 450.000,"Somos Venezia y Asociados, te presentamos un hermoso departamento. . Super amplio y luminoso! Se encuentra ubicado, sobre la calle Enrique Tornú a media cuadra de Av. Pedro Zanni y tres cuadras de Monseñor de Andrea, por donde pasan gran cantidad de líneas de colectivos, por otro lado en la zona contas con diferentes comercios. - El departamento esta dispuesto en un primer piso, por escalera, cuenta con living comedor muy amplio con cocina integrada, la cocina cuenta con muebles bajo mesada y una puerta que sale al patio de baldosas. - Dos dormitorios, grandes con placares completos, modernos con mucho espacio y un baño completo! = te dejamos un video para que puedas rocorrerlo= Vamos a conocerlo?","Villa Páez, Córdoba"
"42 m² tot.
2 amb.
1 dorm.
1 baño
1 coch.",$ 430.000,"Departamento 1 dormitorio, ubicado en calle 27 de Abril 4. 290, primer piso, con Cochera semi cubierta, complejo con seguridad. Grandes espacios verdes de uso común. Cocina separada con muebles bajo mesa y alacenas. Dormitorio con placar e interiores de placar. Living comedor amplio. Ventanas hacia el exterior. Muy buen estado de conservación. Baño con placard. Consulte: mp: cpi 4137. Sujeto a disponibilidad. Fotos ilustrativas.","Las Palmas, Córdoba"
"47 m² tot.
2 amb.
1 dorm.
1 baño
1 coch.",$ 650.000,"Neta alquilahermoso departamento ubicado en calle Roma 368 en 1° piso B° General Paz. Características: -1 dormitorio que incluye placard con interiores-Cochera techada en subsuelo-Balcón pequeño, contrafrente-Cocina integrada-Baño con antebaño El edificio cuenta con sum con asador y una pequeña pileta en terraza. alquiler $650. 000expensas $170. 000 aproximadamenteimportante! ! El departamento se alquila sin los muebles! ! Contactanos para más información! neta servicios inmobiliarios","General Paz, Córdoba"
"45 m² tot.
3 amb.
1 dorm.
1 baño",$ 600.000,"Departamento de 1 habitación en piso 6 tipología &quot;i&quot;. En alto paz tower, B° General Paz. Características: -1 dormitorio- 1 baños completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina semi - integrada super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicado35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $600. 000expensas: $135. 000 aprox. (las mismas están sujetas a modificación) consulta con alguno de nuestros asesores para mas informacion detalladaconsúltanos para coordinar una visita! Excelente oportunidad! neta servicios inmobiliarios","General Paz, Córdoba"
